Load
Number of Bus,Name of Bus,Area Name of Load,Zone Name of Load,ID,Status,MW,Mvar,MVA,S MW,S Mvar,Dist Status,Dist MW Input,Dist Mvar Input
150413,WEATHERFORD 8 1,North Central,1,5,Closed,92.9000,54.80,107.86,92.90,54.80,Closed,0.00,0.00
240120,SWEETWATER 1 1,West,1,1,Closed,91.6000,24.80,94.90,91.60,24.80,Closed,0.00,0.00
120416,UNIVERSAL CITY 13 2,South Central,1,5,Closed,91.1000,15.90,92.48,91.10,15.90,Closed,0.00,0.00
180021,LAREDO 16 1,South,1,5,Closed,90.2000,21.20,92.66,90.20,21.20,Closed,0.00,0.00
110743,HUMBLE 9 2,Coast,1,5,Closed,89.3000,18.60,91.22,89.30,18.60,Closed,0.00,0.00
220026,SHEFFIELD 1 1,Far West,1,5,Closed,87.6000,61.00,106.75,87.60,61.00,Closed,0.00,0.00
110987,SPRING 21 1,Coast,1,5,Closed,86.7000,59.30,105.04,86.70,59.30,Closed,0.00,0.00
230073,HEMPSTEAD 4 2,Coast,1,5,Closed,85.8000,59.30,104.30,85.80,59.30,Closed,0.00,0.00
220148,MC CAMEY 2 1,Far West,1,5,Closed,84.9000,15.90,86.38,84.90,15.90,Closed,0.00,0.00
111245,BAYTOWN 12 1,Coast,1,5,Closed,84.0000,23.90,87.33,84.00,23.90,Closed,0.00,0.00
150390,MILLSAP 7 1,North Central,1,5,Closed,83.2000,57.50,101.14,83.20,57.50,Closed,0.00,0.00
220205,MC CAMEY 3 2,Far West,1,5,Closed,82.3000,5.30,82.47,82.30,5.30,Closed,0.00,0.00
220061,LAMESA 1 1,Far West,1,1,Closed,82.1000,25.80,86.06,82.10,25.80,Closed,0.00,0.00
120248,RIO MEDINA 3 1,South Central,1,5,Closed,81.4000,29.20,86.48,81.40,29.20,Closed,0.00,0.00
220094,GARDENDALE 4 1,Far West,1,5,Closed,80.5000,29.20,85.63,80.50,29.20,Closed,0.00,0.00
130106,LANCASTER 1 1,North Central,1,5,Closed,79.6000,56.60,97.67,79.60,56.60,Closed,0.00,0.00
190062,TULIA 1 2,North,1,1,Closed,78.9000,6.70,79.18,78.90,6.70,Closed,0.00,0.00
220161,ODESSA 19 2,Far West,1,5,Closed,78.7000,46.90,91.61,78.70,46.90,Closed,0.00,0.00
170119,PROSPER 3 2,North Central,1,5,Closed,77.8000,47.80,91.31,77.80,47.80,Closed,0.00,0.00
110132,WHARTON 2 1,Coast,1,5,Closed,77.8000,5.30,77.98,77.80,5.30,Closed,0.00,0.00
220141,ODESSA 18 1,Far West,1,5,Closed,77.0000,53.10,93.53,77.00,53.10,Closed,0.00,0.00
220135,BIG SPRING 9 1,Far West,1,5,Closed,76.1000,54.80,93.78,76.10,54.80,Closed,0.00,0.00
130163,CARROLLTON 7 2,North Central,1,1,Closed,75.8000,24.80,79.75,75.80,24.80,Closed,0.00,0.00
220129,BIG SPRING 8 2,Far West,1,5,Closed,75.2000,47.80,89.11,75.20,47.80,Closed,0.00,0.00
220173,LENORAH 1 2,Far West,1,5,Closed,75.2000,18.60,77.47,75.20,18.60,Closed,0.00,0.00
150343,KENNEDALE 7 3,North Central,1,1,Closed,74.5000,15.80,76.16,74.50,15.80,Closed,0.00,0.00
180062,BRUNI 1 1,South,1,5,Closed,74.3000,13.30,75.48,74.30,13.30,Closed,0.00,0.00
120341,SAN ANTONIO 36 2,South Central,1,1,Closed,74.1000,22.30,77.38,74.10,22.30,Closed,0.00,0.00
170222,FRISCO 7 1,North Central,1,5,Closed,73.4000,47.80,87.59,73.40,47.80,Closed,0.00,0.00
130158,ADDISON 7 1,North Central,1,5,Closed,73.4000,45.10,86.15,73.40,45.10,Closed,0.00,0.00
220063,ACKERLY 1 1,Far West,1,5,Closed,72.5000,35.40,80.68,72.50,35.40,Closed,0.00,0.00
110757,KINGWOOD 6 1,Coast,1,5,Closed,72.5000,24.80,76.62,72.50,24.80,Closed,0.00,0.00
180105,ROMA 6 1,South,1,5,Closed,71.7000,8.00,72.14,71.70,8.00,Closed,0.00,0.00
110745,KINGWOOD 1 1,Coast,1,5,Closed,70.8000,35.40,79.16,70.80,35.40,Closed,0.00,0.00
260138,BEDFORD 1 2,North Central,1,5,Closed,70.8000,24.80,75.02,70.80,24.80,Closed,0.00,0.00
190107,SNYDER 1 1,West,1,1,Closed,70.3000,24.10,74.32,70.30,24.10,Closed,0.00,0.00
190021,PAMPA 1 1,North,1,1,Closed,70.0000,22.80,73.62,70.00,22.80,Closed,0.00,0.00
200047,RIO HONDO 2 1,South,1,5,Closed,69.9000,29.20,75.75,69.90,29.20,Closed,0.00,0.00
111084,SANTA FE 5 1,Coast,1,5,Closed,69.9000,22.10,73.31,69.90,22.10,Closed,0.00,0.00
111091,LA MARQUE 3 1,Coast,1,5,Closed,69.0000,42.50,81.04,69.00,42.50,Closed,0.00,0.00
200194,HARGILL 5 2,South,1,5,Closed,69.0000,24.80,73.32,69.00,24.80,Closed,0.00,0.00
150095,OLNEY 1 1,North Central,1,5,Closed,68.1000,15.90,69.93,68.10,15.90,Closed,0.00,0.00
120356,BULVERDE 7 1,South Central,1,5,Closed,68.1000,40.70,79.34,68.10,40.70,Closed,0.00,0.00
110005,LANE CITY 1 1,Coast,1,5,Closed,68.1000,34.50,76.34,68.10,34.50,Closed,0.00,0.00
220097,MIDLAND 11 1,Far West,1,5,Closed,67.2000,15.00,68.85,67.20,15.00,Closed,0.00,0.00
110737,GUY 2 1,Coast,1,5,Closed,67.2000,17.70,69.49,67.20,17.70,Closed,0.00,0.00
130081,MESQUITE 2 2,North Central,1,1,Closed,67.1000,14.80,68.71,67.10,14.80,Closed,0.00,0.00
110144,SAN FELIPE 2 1,Coast,1,5,Closed,66.3000,33.60,74.33,66.30,33.60,Closed,0.00,0.00
150513,WINDTHORST 3 1,North,1,5,Closed,66.3000,27.40,71.74,66.30,27.40,Closed,0.00,0.00
270180,NEW BRAUNFELS 12 2,South Central,1,5,Closed,66.3000,42.50,78.75,66.30,42.50,Closed,0.00,0.00
170501,TERRELL 5 1,North Central,1,5,Closed,65.5000,15.90,67.40,65.50,15.90,Closed,0.00,0.00
130306,PALMER 2 1,North Central,1,5,Closed,65.5000,47.80,81.09,65.50,47.80,Closed,0.00,0.00
270158,SAN MARCOS 4 1,South Central,1,5,Closed,65.5000,30.10,72.09,65.50,30.10,Closed,0.00,0.00
120022,RIO MEDINA 1 1,South Central,1,5,Closed,65.5000,14.20,67.02,65.50,14.20,Closed,0.00,0.00
260039,GRAND PRAIRIE 10 2,North Central,1,1,Closed,65.5000,21.00,68.78,65.50,21.00,Closed,0.00,0.00
260043,GRAND PRAIRIE 11 2,North Central,1,1,Closed,65.3000,19.30,68.09,65.30,19.30,Closed,0.00,0.00
140225,AUSTIN 54 2,South Central,1,1,Closed,64.8000,18.70,67.44,64.80,18.70,Closed,0.00,0.00
220067,ANDREWS 1 1,Far West,1,1,Closed,64.7000,21.00,68.02,64.70,21.00,Closed,0.00,0.00
270009,HYE 1 1,South Central,1,5,Closed,64.6000,34.50,73.24,64.60,34.50,Closed,0.00,0.00
140293,GEORGETOWN 5 1,South Central,1,5,Closed,64.6000,42.50,77.33,64.60,42.50,Closed,0.00,0.00
220101,MIDLAND 14 1,Far West,1,5,Closed,64.6000,10.60,65.46,64.60,10.60,Closed,0.00,0.00
150097,GRAHAM 1 1,North Central,1,1,Closed,64.0000,19.10,66.79,64.00,19.10,Closed,0.00,0.00
210277,TEMPLE 5 3,North Central,1,1,Closed,64.0000,11.80,65.08,64.00,11.80,Closed,0.00,0.00
220112,BIG SPRING 5 1,Far West,1,5,Closed,63.7000,24.80,68.36,63.70,24.80,Closed,0.00,0.00
110212,KATY 21 1,Coast,1,5,Closed,63.7000,41.60,76.08,63.70,41.60,Closed,0.00,0.00
120150,BOERNE 6 1,South Central,1,5,Closed,63.7000,39.80,75.11,63.70,39.80,Closed,0.00,0.00
130315,BARRY 4 1,North Central,1,5,Closed,63.7000,47.80,79.64,63.70,47.80,Closed,0.00,0.00
110793,HOUSTON 34 1,Coast,1,5,Closed,62.8000,23.00,66.88,62.80,23.00,Closed,0.00,0.00
110828,SPRING 7 1,Coast,1,5,Closed,62.8000,38.90,73.87,62.80,38.90,Closed,0.00,0.00
220185,FORSAN 7 2,Far West,1,5,Closed,62.8000,15.90,64.78,62.80,15.90,Closed,0.00,0.00
220081,ODESSA 6 1,Far West,1,5,Closed,62.8000,45.10,77.32,62.80,45.10,Closed,0.00,0.00
240274,STERLING CITY 3 2,Far West,1,5,Closed,62.8000,32.70,70.80,62.80,32.70,Closed,0.00,0.00
110711,HOUSTON 19 2,Coast,1,1,Closed,62.7000,20.30,65.90,62.70,20.30,Closed,0.00,0.00
160161,CORPUS CHRISTI 26 1,South,1,1,Closed,62.4000,21.40,65.97,62.40,21.40,Closed,0.00,0.00
110550,DEER PARK 7 1,Coast,1,5,Closed,61.9000,36.30,71.76,61.90,36.30,Closed,0.00,0.00
120239,SAN ANTONIO 5 1,South Central,1,5,Closed,61.9000,40.70,74.08,61.90,40.70,Closed,0.00,0.00
120427,CIBOLO 5 1,South Central,1,5,Closed,61.9000,36.30,71.76,61.90,36.30,Closed,0.00,0.00
220168,FORSAN 3 1,Far West,1,5,Closed,61.9000,6.20,62.21,61.90,6.20,Closed,0.00,0.00
130104,DALLAS 19 1,North Central,1,5,Closed,61.9000,35.40,71.31,61.90,35.40,Closed,0.00,0.00
260019,MILFORD 2 1,North Central,1,5,Closed,61.9000,35.40,71.31,61.90,35.40,Closed,0.00,0.00
130161,CARROLLTON 6 2,North Central,1,1,Closed,61.8000,16.20,63.89,61.80,16.20,Closed,0.00,0.00
111017,BELLAIRE 41 1,Coast,1,1,Closed,61.6000,12.30,62.82,61.60,12.30,Closed,0.00,0.00
270181,NEW BRAUNFELS 12 3,South Central,1,1,Closed,61.4000,13.30,62.82,61.40,13.30,Closed,0.00,0.00
150115,VERNON 1 1,North,1,1,Closed,61.4000,7.80,61.89,61.40,7.80,Closed,0.00,0.00
110337,BELLAIRE 18 2,Coast,1,1,Closed,60.9000,10.30,61.76,60.90,10.30,Closed,0.00,0.00
110177,HUMBLE 7 2,Coast,1,1,Closed,59.1000,16.80,61.44,59.10,16.80,Closed,0.00,0.00
130124,IRVING 3 2,North Central,1,1,Closed,59.1000,20.30,62.49,59.10,20.30,Closed,0.00,0.00
130067,DUNCANVILLE 6 2,North Central,1,1,Closed,59.1000,13.30,60.58,59.10,13.30,Closed,0.00,0.00
110804,HOUSTON 38 2,Coast,1,1,Closed,58.8000,14.60,60.59,58.80,14.60,Closed,0.00,0.00
110789,HOUSTON 31 2,Coast,1,1,Closed,58.7000,18.70,61.61,58.70,18.70,Closed,0.00,0.00
111069,SPRING 32 3,Coast,1,1,Closed,58.6000,19.20,61.67,58.60,19.20,Closed,0.00,0.00
111095,TEXAS CITY 5 1,Coast,1,1,Closed,58.6000,18.10,61.33,58.60,18.10,Closed,0.00,0.00
140147,AUSTIN 42 2,South Central,1,1,Closed,58.3000,20.60,61.83,58.30,20.60,Closed,0.00,0.00
150174,CLEBURNE 4 2,North Central,1,1,Closed,58.1000,5.60,58.37,58.10,5.60,Closed,0.00,0.00
110335,BELLAIRE 17 2,Coast,1,1,Closed,57.9000,19.40,61.06,57.90,19.40,Closed,0.00,0.00
170303,RICHARDSON 18 2,North Central,1,1,Closed,57.9000,11.10,58.95,57.90,11.10,Closed,0.00,0.00
170103,ADDISON 15 2,North Central,1,1,Closed,57.9000,9.20,58.63,57.90,9.20,Closed,0.00,0.00
110589,KATY 82 2,Coast,1,1,Closed,57.9000,19.30,61.03,57.90,19.30,Closed,0.00,0.00
170203,PLANO 3 2,North Central,1,1,Closed,57.8000,2.03,57.84,57.80,2.03,Closed,0.00,0.00
120259,LACKLAND A F B 6 2,South Central,1,1,Closed,57.7000,12.00,58.93,57.70,12.00,Closed,0.00,0.00
170480,SHERMAN 4 2,North,1,1,Closed,57.6000,20.80,61.24,57.60,20.80,Closed,0.00,0.00
200132,SAN JUAN 5 1,South,1,1,Closed,57.6000,11.10,58.66,57.60,11.10,Closed,0.00,0.00
270122,SEGUIN 6 2,South Central,1,1,Closed,57.4000,18.50,60.31,57.40,18.50,Closed,0.00,0.00
110888,FRESNO 3 2,Coast,1,1,Closed,57.1000,18.00,59.87,57.10,18.00,Closed,0.00,0.00
170097,CARROLLTON 11 2,North Central,1,1,Closed,56.6000,19.50,59.86,56.60,19.50,Closed,0.00,0.00
150359,WICHITA FALLS 7 1,North,1,1,Closed,56.5000,7.00,56.93,56.50,7.00,Closed,0.00,0.00
260104,COPPELL 9 2,North Central,1,1,Closed,56.5000,18.60,59.48,56.50,18.60,Closed,0.00,0.00
170207,PLANO 4 2,North Central,1,1,Closed,56.5000,15.80,58.67,56.50,15.80,Closed,0.00,0.00
110430,CHANNELVIEW 11 2,Coast,1,1,Closed,56.1000,15.80,58.28,56.10,15.80,Closed,0.00,0.00
260152,EULESS 3 2,North Central,1,1,Closed,56.1000,19.90,59.52,56.10,19.90,Closed,0.00,0.00
190060,SUMMERFIELD 1 1,North,1,1,Closed,56.0000,10.30,56.94,56.00,10.30,Closed,0.00,0.00
190060,SUMMERFIELD 1 1,North,1,2,Closed,56.0000,6.70,56.40,56.00,6.70,Closed,0.00,0.00
140268,TAYLOR 4 3,South Central,1,1,Closed,55.9000,19.10,59.07,55.90,19.10,Closed,0.00,0.00
150220,FORT WORTH 16 2,North Central,1,1,Closed,55.9000,10.30,56.84,55.90,10.30,Closed,0.00,0.00
250275,MOUNT PLEASANT 4 1,East,1,1,Closed,55.8000,4.90,56.01,55.80,4.90,Closed,0.00,0.00
140090,AUSTIN 25 2,South Central,1,1,Closed,55.7000,20.20,59.25,55.70,20.20,Closed,0.00,0.00
120339,CONVERSE 2 2,South Central,1,1,Closed,55.6000,15.10,57.61,55.60,15.10,Closed,0.00,0.00
140292,ROUND ROCK 15 2,South Central,1,1,Closed,55.5000,19.10,58.69,55.50,19.10,Closed,0.00,0.00
110797,GALENA PARK 12 2,Coast,1,1,Closed,55.4000,12.70,56.84,55.40,12.70,Closed,0.00,0.00
170324,ADDISON 20 1,North Central,1,1,Closed,55.4000,11.80,56.64,55.40,11.80,Closed,0.00,0.00
150300,FORT WORTH 20 2,North Central,1,1,Closed,54.9000,18.30,57.87,54.90,18.30,Closed,0.00,0.00
111118,GALENA PARK 16 2,Coast,1,1,Closed,54.8000,17.50,57.53,54.80,17.50,Closed,0.00,0.00
250277,SULPHUR SPRINGS 5 1,East,1,1,Closed,54.8000,16.80,57.32,54.80,16.80,Closed,0.00,0.00
110173,HUMBLE 6 2,Coast,1,1,Closed,54.7000,11.60,55.92,54.70,11.60,Closed,0.00,0.00
120312,SAN ANTONIO 28 2,South Central,1,1,Closed,54.6000,10.80,55.66,54.60,10.80,Closed,0.00,0.00
120310,LACKLAND A F B 12 2,South Central,1,1,Closed,54.6000,19.00,57.81,54.60,19.00,Closed,0.00,0.00
110587,KATY 81 3,Coast,1,1,Closed,54.3000,9.70,55.16,54.30,9.70,Closed,0.00,0.00
210279,TEMPLE 6 2,North Central,1,1,Closed,54.0000,13.50,55.66,54.00,13.50,Closed,0.00,0.00
190101,AMARILLO 24 1,North,1,1,Closed,53.8000,10.70,54.85,53.80,10.70,Closed,0.00,0.00
110713,HOUSTON 20 2,Coast,1,1,Closed,53.5000,17.30,56.23,53.50,17.30,Closed,0.00,0.00
170184,GARLAND 7 2,North Central,1,1,Closed,53.5000,10.40,54.50,53.50,10.40,Closed,0.00,0.00
160157,CORPUS CHRISTI 22 1,South,1,1,Closed,53.5000,15.40,55.67,53.50,15.40,Closed,0.00,0.00
260107,COPPELL 10 3,North Central,1,1,Closed,53.5000,13.00,55.06,53.50,13.00,Closed,0.00,0.00
210148,WACO 9 2,North Central,1,1,Closed,53.3000,14.90,55.34,53.30,14.90,Closed,0.00,0.00
110791,HOUSTON 32 2,Coast,1,1,Closed,53.3000,7.30,53.80,53.30,7.30,Closed,0.00,0.00
111073,HUMBLE 12 2,Coast,1,1,Closed,53.1000,16.00,55.46,53.10,16.00,Closed,0.00,0.00
190086,AMARILLO 13 1,North,1,1,Closed,52.9000,16.00,55.27,52.90,16.00,Closed,0.00,0.00
110405,BAYTOWN 7 2,Coast,1,1,Closed,52.7000,5.70,53.01,52.70,5.70,Closed,0.00,0.00
160156,CORPUS CHRISTI 21 1,South,1,1,Closed,52.5000,4.07,52.66,52.50,4.07,Closed,0.00,0.00
111015,KATY 85 2,Coast,1,1,Closed,52.4000,8.20,53.04,52.40,8.20,Closed,0.00,0.00
170101,ADDISON 14 2,North Central,1,1,Closed,52.4000,15.40,54.62,52.40,15.40,Closed,0.00,0.00
170299,RICHARDSON 16 2,North Central,1,1,Closed,52.4000,17.60,55.28,52.40,17.60,Closed,0.00,0.00
110428,CHANNELVIEW 10 1,Coast,1,1,Closed,52.2000,17.30,54.99,52.20,17.30,Closed,0.00,0.00
120318,HELOTES 13 2,South Central,1,1,Closed,51.8000,17.20,54.58,51.80,17.20,Closed,0.00,0.00
111151,STAFFORD 18 2,Coast,1,1,Closed,51.7000,16.00,54.12,51.70,16.00,Closed,0.00,0.00
120412,SAN ANTONIO 57 2,South Central,1,1,Closed,51.7000,18.30,54.84,51.70,18.30,Closed,0.00,0.00
110485,CLUTE 1 2,Coast,1,1,Closed,51.4000,13.80,53.22,51.40,13.80,Closed,0.00,0.00
130165,CARROLLTON 8 2,North Central,1,1,Closed,51.4000,14.80,53.49,51.40,14.80,Closed,0.00,0.00
170443,DENTON 7 2,North Central,1,1,Closed,51.3000,8.90,52.07,51.30,8.90,Closed,0.00,0.00
130122,DALLAS 22 2,North Central,1,1,Closed,51.2000,8.30,51.87,51.20,8.30,Closed,0.00,0.00
110584,KATY 80 1,Coast,1,1,Closed,51.0000,14.30,52.97,51.00,14.30,Closed,0.00,0.00
270167,NEW BRAUNFELS 2 2,South Central,1,1,Closed,50.6000,12.40,52.10,50.60,12.40,Closed,0.00,0.00
180004,EAGLE PASS 2 1,South,1,1,Closed,50.6000,10.90,51.76,50.60,10.90,Closed,0.00,0.00
260099,COPPELL 7 1,North Central,1,1,Closed,50.5000,14.10,52.43,50.50,14.10,Closed,0.00,0.00
170170,WYLIE 1 3,North Central,1,1,Closed,50.5000,17.80,53.55,50.50,17.80,Closed,0.00,0.00
130107,LANCASTER 1 2,North Central,1,1,Closed,50.4000,8.20,51.06,50.40,8.20,Closed,0.00,0.00
111177,SUGAR LAND 77 2,Coast,1,1,Closed,50.4000,10.40,51.46,50.40,10.40,Closed,0.00,0.00
160160,CORPUS CHRISTI 25 1,South,1,1,Closed,50.3000,10.30,51.34,50.30,10.30,Closed,0.00,0.00
110393,BAYTOWN 4 2,Coast,1,1,Closed,50.2000,15.20,52.45,50.20,15.20,Closed,0.00,0.00
270155,SAN MARCOS 2 3,South Central,1,1,Closed,50.1000,13.40,51.86,50.10,13.40,Closed,0.00,0.00
130075,BALCH SPRINGS 4 2,North Central,1,1,Closed,50.0000,3.61,50.13,50.00,3.61,Closed,0.00,0.00
200004,WESLACO 3 2,South,1,1,Closed,49.8000,10.30,50.85,49.80,10.30,Closed,0.00,0.00
150455,SHEPPARD AFB 5 1,North,1,1,Closed,49.7000,6.40,50.11,49.70,6.40,Closed,0.00,0.00
260142,HURST 4 2,North Central,1,1,Closed,49.3000,3.89,49.45,49.30,3.89,Closed,0.00,0.00
150351,SHEPPARD AFB 2 1,North,1,1,Closed,49.3000,17.00,52.15,49.30,17.00,Closed,0.00,0.00
170297,GARLAND 13 2,North Central,1,1,Closed,49.2000,7.80,49.81,49.20,7.80,Closed,0.00,0.00
170295,GARLAND 12 1,North Central,1,1,Closed,49.2000,16.60,51.92,49.20,16.60,Closed,0.00,0.00
130294,DALLAS 41 2,North Central,1,1,Closed,49.0000,15.30,51.33,49.00,15.30,Closed,0.00,0.00
150360,WICHITA FALLS 8 1,North,1,1,Closed,48.8000,12.30,50.33,48.80,12.30,Closed,0.00,0.00
170087,ADDISON 9 2,North Central,1,1,Closed,48.8000,11.30,50.09,48.80,11.30,Closed,0.00,0.00
110705,HOUSTON 14 1,Coast,1,1,Closed,48.8000,14.10,50.80,48.80,14.10,Closed,0.00,0.00
140195,ROUND ROCK 6 2,South Central,1,1,Closed,48.6000,2.64,48.67,48.60,2.64,Closed,0.00,0.00
110493,CLUTE 4 2,Coast,1,1,Closed,48.5000,9.30,49.38,48.50,9.30,Closed,0.00,0.00
230240,ROCKDALE 6 1,South Central,1,2,Closed,48.2000,36.60,60.52,48.20,36.60,Closed,0.00,0.00
110341,ALVIN 1 2,Coast,1,1,Closed,48.1000,16.90,50.98,48.10,16.90,Closed,0.00,0.00
170089,ADDISON 10 2,North Central,1,1,Closed,48.1000,13.50,49.96,48.10,13.50,Closed,0.00,0.00
230069,BRENHAM 5 2,South Central,1,1,Closed,48.1000,17.10,51.05,48.10,17.10,Closed,0.00,0.00
110326,BELLAIRE 11 2,Coast,1,1,Closed,48.0000,13.60,49.89,48.00,13.60,Closed,0.00,0.00
220088,ODESSA 12 1,Far West,1,1,Closed,48.0000,8.80,48.80,48.00,8.80,Closed,0.00,0.00
110798,HOUSTON 36 1,Coast,1,1,Closed,47.9000,3.24,48.01,47.90,3.24,Closed,0.00,0.00
170223,FRISCO 7 2,North Central,1,1,Closed,47.9000,14.50,50.05,47.90,14.50,Closed,0.00,0.00
140156,MANOR 1 2,South Central,1,1,Closed,47.9000,17.00,50.83,47.90,17.00,Closed,0.00,0.00
110880,PEARLAND 11 2,Coast,1,1,Closed,47.9000,17.30,50.93,47.90,17.30,Closed,0.00,0.00
130054,DALLAS 6 2,North Central,1,1,Closed,47.9000,15.00,50.19,47.90,15.00,Closed,0.00,0.00
130105,DALLAS 19 2,North Central,1,1,Closed,47.9000,9.30,48.79,47.90,9.30,Closed,0.00,0.00
210143,HEWITT 2 1,North Central,1,1,Closed,47.7000,12.70,49.36,47.70,12.70,Closed,0.00,0.00
130142,DUNCANVILLE 12 2,North Central,1,1,Closed,47.7000,15.20,50.06,47.70,15.20,Closed,0.00,0.00
210146,HEWITT 3 3,North Central,1,1,Closed,47.7000,14.00,49.71,47.70,14.00,Closed,0.00,0.00
140190,PFLUGERVILLE 5 2,South Central,1,1,Closed,47.6000,10.50,48.74,47.60,10.50,Closed,0.00,0.00
200144,HARLINGEN 3 2,South,1,1,Closed,47.5000,13.40,49.35,47.50,13.40,Closed,0.00,0.00
190063,WILDORADO 1 1,North,1,1,Closed,47.5000,6.60,47.96,47.50,6.60,Closed,0.00,0.00
150338,FORT WORTH 22 2,North Central,1,1,Closed,47.4000,10.10,48.46,47.40,10.10,Closed,0.00,0.00
140057,BUDA 2 2,South Central,1,1,Closed,47.4000,11.30,48.73,47.40,11.30,Closed,0.00,0.00
130119,GRAND PRAIRIE 2 2,North Central,1,1,Closed,47.3000,2.41,47.36,47.30,2.41,Closed,0.00,0.00
150298,FORT WORTH 19 2,North Central,1,1,Closed,47.2000,11.10,48.49,47.20,11.10,Closed,0.00,0.00
110415,CHANNELVIEW 3 2,Coast,1,1,Closed,47.1000,9.60,48.07,47.10,9.60,Closed,0.00,0.00
