UID,From Bus,From Name,To Bus,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Cont Rating,Lim MVA B,Lim MVA C
48,110067,KENDLETON 1 3,110068,KENDLETON 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
49,110038,NADA 1 2,110040,NADA 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
50,110090,PALACIOS 1 2,110092,PALACIOS 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
51,110083,ELMATON 1 3,110084,ELMATON 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
52,110099,ELMATON 2 3,110100,ELMATON 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
53,110075,DANEVANG 1 3,110076,DANEVANG 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
54,110066,KENDLETON 1 2,110068,KENDLETON 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
55,110031,WHARTON 1 3,110032,WHARTON 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
56,110006,LANE CITY 1 2,110008,LANE CITY 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
57,110091,PALACIOS 1 3,110092,PALACIOS 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
58,110078,DANEVANG 2 2,110080,DANEVANG 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
59,110011,MATAGORDA 1 3,110012,MATAGORDA 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
60,110063,NADA 2 3,110064,NADA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
61,110046,LOUISE 1 2,110048,LOUISE 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
62,110023,EL CAMPO 1 3,110024,EL CAMPO 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
63,110087,BAY CITY 1 3,110088,BAY CITY 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
64,110015,HUNGERFORD 1 3,110016,HUNGERFORD 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
65,110086,BAY CITY 1 2,110088,BAY CITY 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
66,110039,NADA 1 3,110040,NADA 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
67,110106,MATAGORDA 2 2,110108,MATAGORDA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
68,110043,EGYPT 1 3,110044,EGYPT 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
69,110019,EAST BERNARD 1 3,110020,EAST BERNARD 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
70,110022,EL CAMPO 1 2,110024,EL CAMPO 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
71,110058,LOUISE 3 2,110060,LOUISE 3 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
72,110003,EDNA 1 3,110004,EDNA 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
73,110095,MIDFIELD 1 3,110096,MIDFIELD 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
74,110103,PALACIOS 2 3,110104,PALACIOS 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
75,110007,LANE CITY 1 3,110008,LANE CITY 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
76,110042,EGYPT 1 2,110044,EGYPT 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
77,110062,NADA 2 2,110064,NADA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
78,110115,EDNA 2 3,110116,EDNA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
79,110071,PLEDGER 1 3,110072,PLEDGER 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
80,110054,LOUISE 2 2,110056,LOUISE 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
81,110079,DANEVANG 2 3,110080,DANEVANG 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
82,110026,EL CAMPO 2 2,110028,EL CAMPO 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
83,110047,LOUISE 1 3,110048,LOUISE 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
84,110010,MATAGORDA 1 2,110012,MATAGORDA 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
85,110070,PLEDGER 1 2,110072,PLEDGER 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
86,110035,CEDAR LANE 1 3,110036,CEDAR LANE 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
87,110050,GANADO 1 2,110052,GANADO 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
88,110114,EDNA 2 2,110116,EDNA 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
89,110051,GANADO 1 3,110052,GANADO 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
90,110059,LOUISE 3 3,110060,LOUISE 3 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
91,110027,EL CAMPO 2 3,110028,EL CAMPO 2 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
92,110111,SWEENY 1 3,110112,SWEENY 1 4,1,Closed,Transformer,YES,0,0.01,0,10,10,10
93,110110,SWEENY 1 2,110112,SWEENY 1 4,1,Closed,Transformer,YES,0,0.01,0,10.2,10.2,10.2
94,110002,EDNA 1 2,110004,EDNA 1 4,1,Closed,Transformer,YES,0,0.01,0,10.4,10.4,10.4
95,110094,MIDFIELD 1 2,110096,MIDFIELD 1 4,1,Closed,Transformer,YES,0,0.01,0,11,11,11
96,110102,PALACIOS 2 2,110104,PALACIOS 2 4,1,Closed,Transformer,YES,0,0.01,0,11.7,11.7,11.7
97,260038,GRAND PRAIRIE 10 1,260041,GRAND PRAIRIE 10 4,1,Closed,Transformer,YES,0.05209,1.54669,0,11.7,11.7,11.7
98,180115,FALCON HEIGHTS 1 3,180116,FALCON HEIGHTS 1 4,1,Closed,Transformer,YES,0,0.01,0,13,13,13
99,200162,SANTA ROSA 2 2,200164,SANTA ROSA 2 4,1,Closed,Transformer,YES,0,0.01,0,13,13,13
100,110098,ELMATON 2 2,110100,ELMATON 2 4,1,Closed,Transformer,YES,0,0.01,0,13.4,13.4,13.4
101,180114,FALCON HEIGHTS 1 2,180116,FALCON HEIGHTS 1 4,1,Closed,Transformer,YES,0,0.01,0,13.699999,13.699999,13.699999
102,250303,NACOGDOCHES 5 1,250305,NACOGDOCHES 5 3,1,Closed,Transformer,YES,0.03311,0.96754,0,14.6,14.6,14.6
103,111329,CLUTE 6 2,111331,CLUTE 6 4,1,Closed,Transformer,YES,0,0.01,0,15.2,15.2,15.2
104,160230,CORPUS CHRISTI 30 2,160232,CORPUS CHRISTI 30 4,1,Closed,Transformer,YES,0,0.01,0,15.6,15.6,15.6
105,110082,ELMATON 1 2,110084,ELMATON 1 4,1,Closed,Transformer,YES,0,0.01,0,18.099999,18.099999,18.099999
106,210198,WEST 1 2,210200,WEST 1 4,1,Closed,Transformer,YES,0.03908,0.65483,0,18.4,18.4,18.4
107,160243,BLOOMINGTON 4 3,160244,BLOOMINGTON 4 4,1,Closed,Transformer,YES,0,0.01,0,19.499999,19.499999,19.499999
108,110074,DANEVANG 1 2,110076,DANEVANG 1 4,1,Closed,Transformer,YES,0,0.01,0,19.9,19.9,19.9
109,110034,CEDAR LANE 1 2,110036,CEDAR LANE 1 4,1,Closed,Transformer,YES,0,0.01,0,23,23,23
110,240309,ELDORADO 4 2,240311,ELDORADO 4 4,1,Closed,Transformer,YES,0.02063,0.59763,0,23.199999,23.199999,23.199999
111,110030,WHARTON 1 2,110032,WHARTON 1 4,1,Closed,Transformer,YES,0,0.01,0,23.3,23.3,23.3
112,110901,GALVESTON 5 3,110902,GALVESTON 5 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
113,110891,PEARLAND 12 3,110892,PEARLAND 12 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
114,110826,SPRING 6 3,110827,SPRING 6 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
115,110989,SPRING 21 3,110990,SPRING 21 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
116,110443,SEABROOK 1 4,110444,SEABROOK 1 5,1,Closed,Transformer,YES,0,0.01,0,25,25,25
117,140258,TAYLOR 2 3,140259,TAYLOR 2 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
118,110297,SPLENDORA 1 3,110298,SPLENDORA 1 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
119,140222,MANCHACA 10 3,140223,MANCHACA 10 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
120,150195,JOSHUA 6 3,150196,JOSHUA 6 4,1,Closed,Transformer,YES,0,0.01,0,25,25,25
121,150451,WICHITA FALLS 11 3,150453,WICHITA FALLS 11 5,1,Closed,Transformer,YES,0,0.01,0,25.600001,25.600001,25.600001
122,150452,WICHITA FALLS 11 4,150453,WICHITA FALLS 11 5,1,Closed,Transformer,YES,0,0.01,0,25.600001,25.600001,25.600001
123,140321,MARBLE FALLS 7 6,140322,MARBLE FALLS 7 7,1,Closed,Transformer,YES,0,0.01,0,25.7,25.7,25.7
124,140320,MARBLE FALLS 7 5,140322,MARBLE FALLS 7 7,1,Closed,Transformer,YES,0,0.01,0,25.7,25.7,25.7
125,240263,BLACKWELL 2 2,240265,BLACKWELL 2 4,1,Closed,Transformer,YES,0.01374,0.36428,0,26.300001,26.300001,26.300001
126,240252,SILVER 2 2,240254,SILVER 2 4,1,Closed,Transformer,YES,0.02294,0.5943,0,27.700001,27.700001,27.700001
127,240181,GOODFELLOW AFB 9 2,240183,GOODFELLOW AFB 9 4,1,Closed,Transformer,YES,0.00934,0.31598,0,29.699999,29.699999,29.699999
128,160242,BLOOMINGTON 4 2,160244,BLOOMINGTON 4 4,1,Closed,Transformer,YES,0,0.01,0,30.899999,30.899999,30.899999
129,210187,HARKER HEIGHTS 4 2,210189,HARKER HEIGHTS 4 4,1,Closed,Transformer,YES,0.02045,0.44588,0,32.800001,32.800001,32.800001
130,110018,EAST BERNARD 1 2,110020,EAST BERNARD 1 4,1,Closed,Transformer,YES,0,0.01,0,33.8,33.8,33.8
131,160231,CORPUS CHRISTI 30 3,160232,CORPUS CHRISTI 30 4,1,Closed,Transformer,YES,0,0.01,0,34.599999,34.599999,34.599999
132,140313,HORSESHOE BAY 4 2,140315,HORSESHOE BAY 4 4,1,Closed,Transformer,YES,0,0.01,0,35.100001,35.100001,35.100001
133,140314,HORSESHOE BAY 4 3,140315,HORSESHOE BAY 4 4,1,Closed,Transformer,YES,0,0.01,0,35.100001,35.100001,35.100001
134,110014,HUNGERFORD 1 2,110016,HUNGERFORD 1 4,1,Closed,Transformer,YES,0,0.01,0,36.500001,36.500001,36.500001
135,240167,DYESS AFB 9 2,240169,DYESS AFB 9 4,1,Closed,Transformer,YES,0.0055,0.17955,0,38.2,38.2,38.2
136,210148,WACO 9 2,210150,WACO 9 4,1,Closed,Transformer,YES,0.01329,0.32971,0,41.299999,41.299999,41.299999
137,110246,KATY 43 1,110245,KATY 42 1,1,Closed,Line,NO,0.00427,0.01184,0.00041,44.9,44.9,44.9
138,120404,LACKLAND A F B 15 2,120403,LACKLAND A F B 15 1,1,Closed,Transformer,YES,0.00128,0.03856,0,46.900001,46.900001,46.900001
139,170428,DENTON 3 2,170430,DENTON 3 4,1,Closed,Transformer,YES,0.0057,0.12019,0,47.400001,47.400001,47.400001
140,240030,LAUGHLIN A F B 6 1,240032,LAUGHLIN A F B 6 3,1,Closed,Transformer,YES,0.01268,0.37426,0,47.400001,47.400001,47.400001
141,110984,SPRING 20 3,110985,SPRING 20 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
142,210199,WEST 1 3,210200,WEST 1 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
143,240014,JUNCTION 2 3,240015,JUNCTION 2 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
144,140325,CEDAR PARK 25 3,140326,CEDAR PARK 25 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
145,110977,CONROE 13 3,110978,CONROE 13 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
146,170429,DENTON 3 3,170430,DENTON 3 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
147,130295,DALLAS 41 3,130296,DALLAS 41 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
148,150122,EASTLAND 1 3,150123,EASTLAND 1 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
149,140137,AUSTIN 39 3,140138,AUSTIN 39 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
150,110968,HOCKLEY 6 3,110969,HOCKLEY 6 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
151,220121,WICKETT 1 3,220122,WICKETT 1 4,1,Closed,Transformer,YES,0,0.01,0,50,50,50
152,170535,CARTWRIGHT 2 2,170537,CARTWRIGHT 2 4,1,Closed,Transformer,YES,0,0.01,0,51.999998,51.999998,51.999998
153,170536,CARTWRIGHT 2 3,170537,CARTWRIGHT 2 4,1,Closed,Transformer,YES,0,0.01,0,51.999998,51.999998,51.999998
154,170359,GARLAND 39 2,170361,GARLAND 39 4,1,Closed,Transformer,YES,0.01352,0.32773,0,51.999998,51.999998,51.999998
155,170318,ADDISON 17 2,170320,ADDISON 17 4,1,Closed,Transformer,YES,0.01836,0.30238,0,52.499998,52.499998,52.499998
156,170292,RICHARDSON 15 2,170294,RICHARDSON 15 4,1,Closed,Transformer,YES,0.01083,0.26294,0,52.8,52.8,52.8
157,170128,PROSPER 6 2,170127,PROSPER 6 1,1,Closed,Transformer,YES,0.00155,0.04458,0,53.600001,53.600001,53.600001
158,240013,JUNCTION 2 2,240015,JUNCTION 2 4,1,Closed,Transformer,YES,0.00776,0.19545,0,54.000002,54.000002,54.000002
159,170258,PLANO 15 2,170260,PLANO 15 4,1,Closed,Transformer,YES,0.00868,0.16931,0,55.199999,55.199999,55.199999
160,111237,LIVERPOOL 5 3,111239,LIVERPOOL 5 5,1,Closed,Transformer,YES,0,0.01,0,55.299997,55.299997,55.299997
161,120221,VON ORMY 2 1,120219,VON ORMY 1 1,1,Closed,Line,NO,0.02254,0.05773,0.00138,56.5,56.5,56.5
162,170236,MELISSA 3 2,170235,MELISSA 3 1,1,Closed,Transformer,YES,0.00187,0.06099,0,56.900001,56.900001,56.900001
163,150133,KRUM 3 1,150135,KRUM 5 1,1,Closed,Line,NO,0.02188,0.04516,0.00131,57.499999,57.499999,57.499999
164,160294,POINT COMFORT 7 3,160295,POINT COMFORT 7 4,1,Closed,Transformer,YES,0,0.01,0,58.499998,58.499998,58.499998
165,160293,POINT COMFORT 7 2,160295,POINT COMFORT 7 4,1,Closed,Transformer,YES,0,0.01,0,58.499998,58.499998,58.499998
166,170194,ALLEN 6 2,170196,ALLEN 6 4,1,Closed,Transformer,YES,0.0137,0.27931,0,60.399997,60.399997,60.399997
167,120278,SAN ANTONIO 19 2,120277,SAN ANTONIO 19 1,1,Closed,Transformer,YES,0.00135,0.0436,0,60.900003,60.900003,60.900003
168,120278,SAN ANTONIO 19 2,120277,SAN ANTONIO 19 1,2,Closed,Transformer,YES,0.00135,0.0436,0,60.900003,60.900003,60.900003
169,110296,SPLENDORA 1 2,110304,NEW CANEY 2 1,1,Closed,Line,NO,0.02445,0.05562,0.0026,60.900003,60.900003,60.900003
170,170097,CARROLLTON 11 2,170099,CARROLLTON 11 4,1,Closed,Transformer,YES,0.01184,0.24627,0,61.699998,61.699998,61.699998
171,240308,ELDORADO 4 1,240311,ELDORADO 4 4,1,Closed,Transformer,YES,0.00463,0.22006,0,61.699998,61.699998,61.699998
172,110594,CYPRESS 34 1,110596,WALLER 3 1,1,Closed,Line,NO,0.05552,0.13987,0.00861,62,62,62
173,220238,MARATHON 2 1,220240,MARATHON 2 3,1,Closed,Transformer,YES,0.00452,0.12355,0,62.099999,62.099999,62.099999
174,220211,GARDEN CITY 3 2,220213,GARDEN CITY 3 4,1,Closed,Transformer,YES,0.00692,0.19722,0,63.800001,63.800001,63.800001
175,110485,CLUTE 1 2,110491,BRAZORIA 1 1,1,Closed,Line,NO,0.03296,0.06828,0.02754,63.999999,63.999999,63.999999
176,150332,BURLESON 11 2,150334,BURLESON 11 4,1,Closed,Transformer,YES,0.01032,0.19143,0,64.600003,64.600003,64.600003
177,220238,MARATHON 2 1,220241,MARATHON 2 4,11,Closed,Transformer,YES,0,0.01,0,64.999998,64.999998,64.999998
178,220129,BIG SPRING 8 2,220131,BIG SPRING 8 4,1,Closed,Transformer,YES,0.0066,0.18618,0,64.999998,64.999998,64.999998
179,150135,KRUM 5 1,150252,PONDER 3 1,1,Closed,Line,NO,0.01457,0.04194,0.00203,66.500002,66.500002,66.500002
180,230193,MONTGOMERY 5 1,230196,RICHARDS 3 1,1,Closed,Line,NO,0.02504,0.06145,0.00519,67.1,67.1,67.1
181,150308,CROWLEY 3 2,150310,CROWLEY 3 4,1,Closed,Transformer,YES,0.00757,0.21193,0,67.199999,67.199999,67.199999
182,110594,CYPRESS 34 1,110595,HOCKLEY 4 1,1,Closed,Line,NO,0.04036,0.10726,0.00411,67.299998,67.299998,67.299998
183,150294,KELLER 13 2,150296,KELLER 13 4,1,Closed,Transformer,YES,0.00675,0.14471,0,67.6,67.6,67.6
184,110616,SUGAR LAND 11 1,110642,SUGAR LAND 35 1,1,Closed,Line,NO,0.00791,0.02276,0.00191,68.199998,68.199998,68.199998
185,150290,NAVAL AIR STATION_ JRB 5 2,150292,NAVAL AIR STATION_ JRB 5 4,1,Closed,Transformer,YES,0.01024,0.18707,0,68.5,68.5,68.5
186,150259,KELLER 4 2,150261,KELLER 4 4,1,Closed,Transformer,YES,0.00716,0.12501,0,68.599999,68.599999,68.599999
187,220120,WICKETT 1 2,220122,WICKETT 1 4,1,Closed,Transformer,YES,0.00693,0.20059,0,68.699998,68.699998,68.699998
188,210343,GOLDTHWAITE 6 2,210345,GOLDTHWAITE 6 4,1,Closed,Transformer,YES,0.00748,0.23832,0,69,69,69
189,111126,HIGH ISLAND 1 1,111125,STOWELL 3 1,1,Closed,Line,NO,0.02128,0.059,0.01368,69.199997,69.199997,69.199997
190,210307,GATESVILLE 7 2,210309,GATESVILLE 7 4,1,Closed,Transformer,YES,0.00424,0.11301,0,69.199997,69.199997,69.199997
191,140117,SPICEWOOD 11 1,140105,SPICEWOOD 6 1,1,Closed,Line,NO,0.02746,0.06203,0.00229,69.300002,69.300002,69.300002
192,110722,ANGLETON 4 1,110726,ANGLETON 6 2,1,Closed,Line,NO,0.01055,0.02391,0.00101,69.999999,69.999999,69.999999
193,110184,KATY 5 1,110200,CYPRESS 5 1,1,Closed,Line,NO,0.00515,0.01238,0.0006,70.300001,70.300001,70.300001
194,210219,CRAWFORD 2 1,210221,VALLEY MILLS 3 1,1,Closed,Line,NO,0.07225,0.14317,0.00418,70.899999,70.899999,70.899999
195,120259,LACKLAND A F B 6 2,120286,SAN ANTONIO 25 1,1,Closed,Line,NO,0.0191,0.04955,0.00662,71.399999,71.399999,71.399999
196,110933,NEW WAVERLY 3 1,110934,NEW WAVERLY 4 1,1,Closed,Line,NO,0.03612,0.07282,0.00827,71.499997,71.499997,71.499997
197,111138,MANVEL 5 2,110346,MANVEL 2 1,1,Closed,Line,NO,0.03331,0.07336,0.0021,71.499997,71.499997,71.499997
198,170163,TERRELL 4 1,170162,ROYSE CITY 4 1,1,Closed,Line,NO,0.03981,0.05717,0.00154,71.600002,71.600002,71.600002
199,110402,MONT BELVIEU 3 1,110394,MONT BELVIEU 1 1,1,Closed,Line,NO,0.02182,0.06614,0.00304,71.700001,71.700001,71.700001
200,210178,FLORENCE 1 1,210183,HARKER HEIGHTS 3 1,1,Closed,Line,NO,0.06314,0.13749,0.00464,72.600001,72.600001,72.600001
201,150250,PONDER 2 1,150252,PONDER 3 1,1,Closed,Line,NO,0.03301,0.08817,0.00442,72.7,72.7,72.7
202,140263,THRALL 4 1,140262,THRALL 3 1,1,Closed,Line,NO,0.04396,0.1387,0.00424,73.000002,73.000002,73.000002
203,130223,DESOTO 10 1,130261,LANCASTER 25 1,1,Closed,Line,NO,0.02413,0.0608,0.00217,73.199999,73.199999,73.199999
204,210197,WEST 1 1,210200,WEST 1 4,1,Closed,Transformer,YES,0.00671,0.19841,0,73.6,73.6,73.6
205,260134,LILLIAN 4 2,260133,LILLIAN 4 1,1,Closed,Transformer,YES,0.00233,0.05748,0,73.799998,73.799998,73.799998
206,210186,HARKER HEIGHTS 4 1,210189,HARKER HEIGHTS 4 4,1,Closed,Transformer,YES,0.00442,0.15649,0,74.1,74.1,74.1
207,150194,JOSHUA 6 2,150196,JOSHUA 6 4,1,Closed,Transformer,YES,0.00825,0.16888,0,74.800003,74.800003,74.800003
208,150165,GODLEY 2 1,150198,GODLEY 5 1,1,Closed,Line,NO,0.04618,0.14201,0.00399,74.900001,74.900001,74.900001
209,111158,STAFFORD 20 3,111159,STAFFORD 20 4,1,Closed,Transformer,YES,0,0.01,0,75,75,75
210,220130,BIG SPRING 8 3,220131,BIG SPRING 8 4,1,Closed,Transformer,YES,0,0.01,0,75,75,75
211,140201,MANCHACA 3 3,140202,MANCHACA 3 4,1,Closed,Transformer,YES,0,0.01,0,75,75,75
212,220239,MARATHON 2 2,220240,MARATHON 2 3,1,Closed,Transformer,YES,0,0.01,0,75,75,75
213,120207,HELOTES 5 3,120208,HELOTES 5 4,1,Closed,Transformer,YES,0,0.01,0,75,75,75
